Line	Date	Time	SpectrumFile	LibraryFile	Water vapor H2O	Unit	 Compensation	 Residual	Carbon dioxide CO2	Unit	 Compensation	 Residual	Methane CH4	Unit	 Compensation	 Residual	Nitrous oxide N2O	Unit	 Compensation	 Residual	 Status
0	2019-06-03	10:29:42		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  1.35	vol-%	wet	0.0039	437.66	ppm	dry	0.0026	  1.85	ppm	dry	0.0022	  0.25	ppm	dry	0.0023	OK
0	2019-06-03	10:29:48		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  1.35	vol-%	wet	0.0039	437.60	ppm	dry	0.0026	  1.79	ppm	dry	0.0021	  0.24	ppm	dry	0.0023	OK
0	2019-06-03	10:29:54		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  1.35	vol-%	wet	0.0042	440.45	ppm	dry	0.0025	  1.95	ppm	dry	0.0023	  0.23	ppm	dry	0.0023	OK
0	2019-06-03	10:30:00		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  1.35	vol-%	wet	0.0041	440.90	ppm	dry	0.0026	  1.86	ppm	dry	0.0021	  0.24	ppm	dry	0.0025	OK
0	2019-06-03	10:30:06		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  1.37	vol-%	wet	0.0038	444.47	ppm	dry	0.0026	  1.88	ppm	dry	0.0024	  0.24	ppm	dry	0.0023	OK
0	2019-06-03	10:30:12		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  1.37	vol-%	wet	0.0037	443.22	ppm	dry	0.0025	  1.83	ppm	dry	0.0021	  0.23	ppm	dry	0.0024	OK
0	2019-06-03	10:30:18		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  1.37	vol-%	wet	0.0042	447.20	ppm	dry	0.0026	  1.90	ppm	dry	0.0022	  0.24	ppm	dry	0.0022	OK
0	2019-06-03	10:30:24		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  1.37	vol-%	wet	0.0039	446.49	ppm	dry	0.0026	  1.79	ppm	dry	0.0021	  0.24	ppm	dry	0.0023	OK
0	2019-06-03	10:30:30		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  1.37	vol-%	wet	0.0041	450.55	ppm	dry	0.0025	  1.86	ppm	dry	0.0022	  0.24	ppm	dry	0.0023	OK
0	2019-06-03	10:30:36		GAS-APP-006_SN184123_c12_20_Rev1.LIB	  1.38	vol-%	wet	0.0039	451.57	ppm	dry	0.0026	  1.83	ppm	dry	0.0021	  0.24	ppm	dry	0.0023	OK
